"ExperimentID","SiteID","PondID","StrainID","Date","pH","Temp.avg (C)","Temp.max (C)","Temp.min (C)","Cond (mS.cm)","DO (mg.L)","DO (%sat)","Sal (g.L)","PAR (umol.m2.s)"
"MAR122015","GT","P5","LRB-AZ-1201","03-30-2015",7.86,,,,1341.31,20.66,157.94,0.66,
"MAR122015","GT","P6","LRB-AZ-1201","03-30-2015",7.89,,,,1401.76,12.14,105.97,0.7,
"MAR122015","GT","P1","LRB-AZ-1201","03-31-2015",7.77,16,20.6,10.7,977.06,9.41,96.26,0.5,352.28
"MAR122015","GT","P2","LRB-AZ-1201","03-31-2015",7.84,16.58,21.3,11.2,900.86,10.55,109.38,0.46,
"MAR122015","GT","P3","LRB-AZ-1201","03-31-2015",7.47,5.34,9.7,0.4,1536.71,18.74,149.58,0.78,
"MAR122015","GT","P4","LRB-AZ-1201","03-31-2015",7.76,,,,1046.11,11.19,113.93,0.5,
"MAR122015","GT","P5","LRB-AZ-1201","03-31-2015",7.79,,,,1382.84,25.3,193.09,0.69,
"MAR122015","GT","P6","LRB-AZ-1201","03-31-2015",7.84,,,,1366.56,11.5,104.31,0.7,
"MAR122015","GT","P1","LRB-AZ-1201","04-01-2015",7.69,19.72,25.5,14.6,867.66,9.2,102.49,0.44,463.42
"MAR122015","GT","P2","LRB-AZ-1201","04-01-2015",7.84,20.36,26.1,15.2,744.16,11.06,124.89,0.36,
"MAR122015","GT","P3","LRB-AZ-1201","04-01-2015",7.42,17.1,32,4,1041.31,11.45,119.23,0.52,
"MAR122015","GT","P4","LRB-AZ-1201","04-01-2015",7.77,,,,965.42,11.08,122.2,0.5,
"MAR122015","GT","P5","LRB-AZ-1201","04-01-2015",7.8,,,,1092.51,39.56,357.9,0.53,
"MAR122015","GT","P6","LRB-AZ-1201","04-01-2015",8.14,,,,1087.38,8.59,90.15,0.55,
"MAR122015","GT","P1","LRB-AZ-1201","04-02-2015",7.66,17.69,20.4,15.4,810.13,9.12,96.31,0.4,170.59
"MAR122015","GT","P2","LRB-AZ-1201","04-02-2015",7.71,18.54,21.4,16.3,601.58,9.97,107.19,0.3,
"MAR122015","GT","P3","LRB-AZ-1201","04-02-2015",7.56,21.82,35.9,15.3,803.46,8.78,98.41,0.39,
"MAR122015","GT","P4","LRB-AZ-1201","04-02-2015",7.83,,,,928.76,9.92,104.38,0.48,
"MAR122015","GT","P5","LRB-AZ-1201","04-02-2015",7.84,,,,1215.58,46.92,411.86,0.6,
"MAR122015","GT","P6","LRB-AZ-1201","04-02-2015",7.75,,,,1114.44,7.21,75.86,0.56,
"MAR122015","GT","P1","LRB-AZ-1201","04-03-2015",7.74,19.69,25.4,14.8,865.11,9.68,107.57,0.45,457.62
"MAR122015","GT","P2","LRB-AZ-1201","04-03-2015",7.8,21.07,26.9,16,786.1,10.54,120.61,0.41,
"MAR122015","GT","P3","LRB-AZ-1201","04-03-2015",7.67,24.55,39.2,15,839.14,9.96,116.98,0.43,
"MAR122015","GT","P4","LRB-AZ-1201","04-03-2015",7.86,,,,957.77,10.27,112.92,0.46,
"MAR122015","GT","P5","LRB-AZ-1201","04-03-2015",7.92,,,,1238.07,51.26,427.08,0.6,
"MAR122015","GT","P6","LRB-AZ-1201","04-03-2015",7.78,,,,1159.67,7.85,86.17,0.58,
"MAR122015","GT","P1","LRB-AZ-1201","04-04-2015",7.71,17.16,20.7,12.8,912.37,8.97,93.7,0.45,489.48
"MAR122015","GT","P2","LRB-AZ-1201","04-04-2015",7.74,19.87,24.1,15.8,867.32,9.24,101.88,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","04-04-2015",7.64,18.73,25,14.6,914.27,10.16,110.16,0.46,
"MAR122015","GT","P4","LRB-AZ-1201","04-04-2015",7.79,,,,970.12,9.9,104.39,0.5,
"MAR122015","GT","P5","LRB-AZ-1201","04-04-2015",7.9,,,,1254.65,18.75,156.25,0.6,
"MAR122015","GT","P6","LRB-AZ-1201","04-04-2015",7.76,,,,1176.74,7.74,81.17,0.6,
"MAR122015","GT","P1","LRB-AZ-1201","04-05-2015",7.82,12.71,18.4,7.1,928.21,8.6,81.23,0.5,444.84
"MAR122015","GT","P2","LRB-AZ-1201","04-05-2015",7.75,19.09,25.4,13.3,814.79,8.17,88.58,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","04-05-2015",7.75,20.71,45,11.4,815.31,7.79,85.66,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-05-2015",7.84,,,,991.11,10.29,99.28,0.5,
"MAR122015","GT","P5","LRB-AZ-1201","04-05-2015",7.92,,,,1288.79,60.01,500,0.63,
"MAR122015","GT","P6","LRB-AZ-1201","04-05-2015",7.77,,,,1211.46,8.33,79.59,0.6,
"MAR122015","GT","P1","LRB-AZ-1201","04-06-2015",7.88,15.35,19.8,11.4,878.13,6.94,70.1,0.43,254.74
"MAR122015","GT","P2","LRB-AZ-1201","04-06-2015",7.81,21.26,34.4,-0.1,797.46,8.79,92.65,0.39,
"MAR122015","GT","P3","LRB-AZ-1201","04-06-2015",7.81,18.03,28.2,1.5,858.39,9.34,98.74,0.43,
"MAR122015","GT","P4","LRB-AZ-1201","04-06-2015",7.61,,,,952.76,9.32,95.62,0.49,
"MAR122015","GT","P5","LRB-AZ-1201","04-06-2015",7.93,,,,1237.94,60.01,500,0.62,
"MAR122015","GT","P6","LRB-AZ-1201","04-06-2015",7.85,,,,1168.42,7.59,77.2,0.59,
"MAR122015","GT","P1","LRB-AZ-1201","04-07-2015",7.91,20.59,25.2,17.4,799.11,5.76,64.04,0.4,306.64
"MAR122015","GT","P2","LRB-AZ-1201","04-07-2015",7.94,9.17,13.5,6.1,1076.42,19.04,167.02,0.5,
"MAR122015","GT","P3","LRB-AZ-1201","04-07-2015",7.87,20.43,25,17.2,820.01,9.97,111.47,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-07-2015",7.08,,,,1024.45,11.68,117.27,0.53,
"MAR122015","GT","P5","LRB-AZ-1201","04-07-2015",7.92,,,,1097.18,56.44,480.38,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-07-2015",7.88,,,,1039.52,7.14,80.14,0.5,
"MAR122015","GT","P1","LRB-AZ-1201","04-08-2015",7.84,23.58,29.3,18.3,806.34,3.55,42.85,0.4,486.1
"MAR122015","GT","P2","LRB-AZ-1201","04-08-2015",7.91,11.83,17.3,6.8,1064.16,18.96,178.08,0.5,
"MAR122015","GT","P3","LRB-AZ-1201","04-08-2015",7.84,23.43,29.2,18.1,811.19,9.08,108.31,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-08-2015",7.89,,,,980.45,12.45,132.73,0.5,
"MAR122015","GT","P5","LRB-AZ-1201","04-08-2015",7.95,,,,1093.62,9.02,106.58,0.52,
"MAR122015","GT","P6","LRB-AZ-1201","04-08-2015",7.86,,,,1046.69,6.99,83.3,0.5,
"MAR122015","GT","P1","LRB-AZ-1201","04-09-2015",7.83,23.77,27.9,19.8,803.11,3.44,41.49,0.4,372.88
"MAR122015","GT","P2","LRB-AZ-1201","04-09-2015",7.88,11.93,15.8,8.2,1056.51,18.91,177.55,0.5,
"MAR122015","GT","P3","LRB-AZ-1201","04-09-2015",7.84,23.55,27.6,19.5,801.51,9.18,109.33,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-09-2015",7.89,,,,982.44,12.24,131.09,0.5,
"MAR122015","GT","P5","LRB-AZ-1201","04-09-2015",7.95,,,,1088.18,7.88,93.47,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-09-2015",7.87,,,,1033.51,7.16,85.21,0.49,
"MAR122015","GT","P1","LRB-AZ-1201","04-10-2015",7.81,21.9,24.3,20.1,804.8,3.13,36.08,0.4,191.71
"MAR122015","GT","P2","LRB-AZ-1201","04-10-2015",7.89,10.06,12.4,8.4,1056.49,17.89,160.16,0.51,
"MAR122015","GT","P3","LRB-AZ-1201","04-10-2015",7.81,21.67,24,19.9,798.28,9.37,107.18,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-10-2015",7.91,,,,937.32,11.89,121.25,0.48,
"MAR122015","GT","P5","LRB-AZ-1201","04-10-2015",7.93,,,,1026.08,6.91,78.49,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-10-2015",7.86,,,,985.17,6.68,75.96,0.48,
"MAR122015","GT","P1","LRB-AZ-1201","04-11-2015",7.85,19.95,24.7,15.7,762.54,4.23,46.8,0.4,499.76
"MAR122015","GT","P2","LRB-AZ-1201","04-11-2015",7.84,8.1,12.6,4.1,995.26,19.78,168.76,0.5,
"MAR122015","GT","P3","LRB-AZ-1201","04-11-2015",7.84,20.02,24.9,15.6,757.35,10.09,111.7,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-11-2015",7.91,,,,861.29,12.89,127.11,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-11-2015",7.71,,,,942.5,5.61,61.65,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-11-2015",7.51,,,,905.99,4.65,50.84,0.43,
"MAR122015","GT","P1","LRB-AZ-1201","04-12-2015",7.91,16.67,18.6,14.1,766.73,4.18,43.06,0.4,138.96
"MAR122015","GT","P2","LRB-AZ-1201","04-12-2015",7.92,5.03,7,2.6,1029.04,20.23,159.24,0.5,
"MAR122015","GT","P3","LRB-AZ-1201","04-12-2015",7.9,20.78,27,15.5,693.63,8.06,89.79,0.33,
"MAR122015","GT","P4","LRB-AZ-1201","04-12-2015",7.88,,,,884.63,12.63,115.26,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-12-2015",7.87,,,,969.21,6.99,72.25,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-12-2015",7.53,,,,941.79,4.92,50.7,0.5,
"MAR122015","GT","P1","LRB-AZ-1201","04-13-2015",7.88,19.72,22.4,16.6,694.98,3.24,35.55,0.32,210
"MAR122015","GT","P2","LRB-AZ-1201","04-13-2015",7.96,7.36,10.5,5,961.64,19.19,160.84,0.47,
"MAR122015","GT","P3","LRB-AZ-1201","04-13-2015",7.89,28.86,31.3,26.4,578.78,5.82,75.81,0.3,
"MAR122015","GT","P4","LRB-AZ-1201","04-13-2015",7.74,,,,864.03,10.75,104,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-13-2015",7.91,,,,970.29,7.2,77.71,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-13-2015",7.81,,,,947.06,5.32,57.39,0.5,
"MAR122015","GT","P1","LRB-AZ-1201","04-14-2015",7.87,22.46,26.6,19.5,638.06,2.58,30.28,0.3,322.55
"MAR122015","GT","P2","LRB-AZ-1201","04-14-2015",7.93,16.07,26.5,7.6,766.46,14.72,145.28,0.35,
"MAR122015","GT","P3","LRB-AZ-1201","04-14-2015",7.85,30.79,34,28.3,544.54,6.61,89.19,0.3,
"MAR122015","GT","P4","LRB-AZ-1201","04-14-2015",7.61,,,,784.34,6.63,72.54,0.39,
"MAR122015","GT","P5","LRB-AZ-1201","04-14-2015",7.9,,,,923.05,7.25,84.05,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-14-2015",7.86,,,,904.72,5.39,62.54,0.42,
"MAR122015","GT","P1","LRB-AZ-1201","04-15-2015",7.83,21.25,24.2,16.6,677.77,6.62,75.44,0.32,235
"MAR122015","GT","P2","LRB-AZ-1201","04-15-2015",7.85,21.03,24.1,16.3,690.46,10.2,115.56,0.32,
"MAR122015","GT","P3","LRB-AZ-1201","04-15-2015",7.76,28.82,32.4,22.8,571.8,6.96,89.94,0.28,
"MAR122015","GT","P4","LRB-AZ-1201","04-15-2015",7.79,,,,720.27,6.68,75.38,0.34,
"MAR122015","GT","P5","LRB-AZ-1201","04-15-2015",7.86,,,,890.34,7.39,83.56,0.43,
"MAR122015","GT","P6","LRB-AZ-1201","04-15-2015",7.82,,,,871.38,5.74,64.76,0.4,
"MAR122015","GT","P1","LRB-AZ-1201","04-16-2015",7.82,13.85,16.4,13,703.45,9.07,87.96,0.3,137.8
"MAR122015","GT","P2","LRB-AZ-1201","04-16-2015",7.76,13.92,16.1,12.9,706.87,9.88,95.85,0.33,
"MAR122015","GT","P3","LRB-AZ-1201","04-16-2015",7.77,14.77,23.7,12.3,650.22,9.82,95.76,0.3,
"MAR122015","GT","P4","LRB-AZ-1201","04-16-2015",7.86,,,,716.84,8.53,82.19,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-16-2015",7.87,,,,878.32,8.43,81.27,0.4,
"MAR122015","GT","P6","LRB-AZ-1201","04-16-2015",7.79,,,,854.34,6.66,64.01,0.4,
"MAR122015","GT","P1","LRB-AZ-1201","04-17-2015",7.87,14.21,16.6,12.9,760.44,8.85,86.74,0.35,113.3
"MAR122015","GT","P2","LRB-AZ-1201","04-17-2015",7.9,14.33,16.5,12.7,767.93,10.62,104.21,0.36,
"MAR122015","GT","P3","LRB-AZ-1201","04-17-2015",7.83,14.28,16.4,12.6,722.79,9.91,97.02,0.36,
"MAR122015","GT","P4","LRB-AZ-1201","04-17-2015",7.88,,,,783.54,8.48,82.99,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-17-2015",7.89,,,,951.93,8.46,83.05,0.46,
"MAR122015","GT","P6","LRB-AZ-1201","04-17-2015",7.84,,,,931.2,6.48,63.63,0.46,
"MAR122015","GT","P1","LRB-AZ-1201","04-18-2015",7.83,19.04,22.6,16.5,786.89,7.98,86.71,0.4,228.14
"MAR122015","GT","P2","LRB-AZ-1201","04-18-2015",7.88,18.89,22.5,16.4,790.91,10.44,113.36,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","04-18-2015",7.76,18.82,22.3,16.3,746.86,8.68,93.66,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-18-2015",7.68,,,,810.5,7.72,83.19,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-18-2015",7.82,,,,976.78,7.84,84.43,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-18-2015",7.82,,,,953.99,5.82,62.77,0.5,
"MAR122015","GT","P1","LRB-AZ-1201","04-19-2015",7.62,20.04,21.4,19.1,757.31,4.71,52,0.4,123.56
"MAR122015","GT","P2","LRB-AZ-1201","04-19-2015",7.81,19.79,21.1,18.9,757.43,8.83,97.21,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","04-19-2015",7.69,19.82,21.2,18.9,722.54,7.63,83.9,0.37,
"MAR122015","GT","P4","LRB-AZ-1201","04-19-2015",7.85,,,,783.09,7.77,85.58,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-19-2015",7.7,,,,945.66,6.12,67.36,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-19-2015",7.75,,,,920.14,4.82,53.14,0.46,
"MAR122015","GT","P1","LRB-AZ-1201","04-20-2015",7.8,20.68,24.4,17.9,742.02,6.37,71.63,0.4,362.73
"MAR122015","GT","P2","LRB-AZ-1201","04-20-2015",7.79,20.45,24.2,17.6,730.67,9.74,109.5,0.39,
"MAR122015","GT","P3","LRB-AZ-1201","04-20-2015",7.69,19.04,21.2,18.2,704.18,7.94,86.1,0.3,
"MAR122015","GT","P4","LRB-AZ-1201","04-20-2015",7.79,,,,763.43,8.38,93.67,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-20-2015",7.79,,,,929.98,6.52,72.92,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-20-2015",7.76,,,,896.8,5.34,59.91,0.4,
"MAR122015","GT","P1","LRB-AZ-1201","04-21-2015",7.81,16.84,22.2,12.2,744.02,7.71,80.36,0.4,531.29
"MAR122015","GT","P2","LRB-AZ-1201","04-21-2015",7.67,16.52,21.9,11.9,739.74,9.61,99.36,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","04-21-2015",7.68,16.84,22.3,12.1,712.34,9.91,103.17,0.33,
"MAR122015","GT","P4","LRB-AZ-1201","04-21-2015",7.63,,,,772.98,9.18,95.24,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-21-2015",7.83,,,,944.85,7.87,82.2,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-21-2015",7.69,,,,908.38,6.12,64.19,0.43,
"MAR122015","GT","P1","LRB-AZ-1201","04-22-2015",7.78,17.61,24.4,11.4,722.79,8.07,85.49,0.36,527.92
"MAR122015","GT","P2","LRB-AZ-1201","04-22-2015",7.66,17.41,24.3,11.1,753.12,8.23,85.86,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","04-22-2015",7.68,17.63,24.3,11.3,724.5,10.25,108.55,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-22-2015",7.57,,,,787.11,9.28,97.57,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-22-2015",7.86,,,,964.39,8.3,87.68,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-22-2015",7.72,,,,922.25,5.51,58.34,0.5,
"MAR122015","GT","P1","LRB-AZ-1201","04-23-2015",7.78,17.28,19.3,15,681.88,7.55,79.07,0.35,362.33
"MAR122015","GT","P2","LRB-AZ-1201","04-23-2015",7.56,17.07,19.2,14.7,750.43,6.93,71.97,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","04-23-2015",7.75,17.23,19.3,14.9,727.36,10.01,104.76,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-23-2015",7.62,,,,797.37,9.3,97.31,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-23-2015",7.87,,,,982.42,7.95,83.27,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-23-2015",7.76,,,,934.74,5.21,54.96,0.5,
"MAR122015","GT","P1","LRB-AZ-1201","04-24-2015",7.37,17.32,24.6,10.7,630.79,5.48,55.99,0.3,502.71
"MAR122015","GT","P2","LRB-AZ-1201","04-24-2015",7.61,16.77,23.7,10.5,758.41,7.21,73.35,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","04-24-2015",7.77,16.9,23.8,10.6,734.76,9.94,103.24,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-24-2015",7.57,,,,810.93,9.71,100.6,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-24-2015",7.9,,,,999.28,7.58,77.94,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-24-2015",7.76,,,,929.63,4.97,51.51,0.48,
"MAR122015","GT","P1","LRB-AZ-1201","04-25-2015",7.41,21.29,25,17.9,529.35,3.65,41.72,0.28,266.98
"MAR122015","GT","P2","LRB-AZ-1201","04-25-2015",7.73,20.08,24.7,16.2,672.08,6.98,76.96,0.31,
"MAR122015","GT","P3","LRB-AZ-1201","04-25-2015",7.78,20.07,24.4,16.3,704.21,7.73,85.51,0.33,
"MAR122015","GT","P4","LRB-AZ-1201","04-25-2015",7.55,,,,783.45,8.82,97.68,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-25-2015",7.86,,,,964.86,6.51,71.76,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-25-2015",7.76,,,,867.45,3.2,35.33,0.43,
"MAR122015","GT","P1","LRB-AZ-1201","04-26-2015",7.61,23.69,29.2,20,640.22,4.26,51.62,0.33,525.72
"MAR122015","GT","P2","LRB-AZ-1201","04-26-2015",7.81,22.02,27.4,18.2,621.05,7.58,87.22,0.3,
"MAR122015","GT","P3","LRB-AZ-1201","04-26-2015",7.71,22.13,27.5,18.7,689.72,5.98,69.42,0.3,
"MAR122015","GT","P4","LRB-AZ-1201","04-26-2015",7.52,,,,775.62,8.78,101.99,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","04-26-2015",7.87,,,,955.45,6.55,75.59,0.5,
"MAR122015","GT","P6","LRB-AZ-1201","04-26-2015",7.75,,,,792.23,2.36,27.36,0.4,
"MAR122015","GT","P1","LRB-AZ-1201","04-27-2015",7.74,18.42,22.3,15.1,668.22,5.94,63.86,0.34,378.17
"MAR122015","GT","P2","LRB-AZ-1201","04-27-2015",7.74,16.47,21.5,12.3,622.48,9.04,92.86,0.3,
"MAR122015","GT","P3","LRB-AZ-1201","04-27-2015",7.51,17.05,21.8,13,738.71,5.86,61.01,0.32,
"MAR122015","GT","P4","LRB-AZ-1201","04-27-2015",7.4,,,,818.73,9.49,98.54,0.42,
"MAR122015","GT","P5","LRB-AZ-1201","04-27-2015",7.82,,,,1005.7,7.03,73.45,0.52,
"MAR122015","GT","P6","LRB-AZ-1201","04-27-2015",7.68,,,,777.09,2.87,30.31,0.4,
"MAR122015","GT","P1","LRB-AZ-1201","04-28-2015",7.89,16.59,23.1,11.1,635.58,6.58,67.78,0.31,491.26
"MAR122015","GT","P2","LRB-AZ-1201","04-28-2015",7.82,16.34,23.1,10.7,743.53,9.24,94.49,0.38,
"MAR122015","GT","P3","LRB-AZ-1201","04-28-2015",7.6,16.63,23.2,11,911.25,5.64,57.34,0.46,
"MAR122015","GT","P4","LRB-AZ-1201","04-28-2015",7.52,,,,953.87,9.72,100.16,0.5,
"MAR122015","GT","P5","LRB-AZ-1201","04-28-2015",7.83,,,,1159.31,7.48,77.25,0.6,
"MAR122015","GT","P6","LRB-AZ-1201","04-28-2015",7.78,,,,943.42,3.67,38.08,0.48,
"MAR122015","GT","P1","LRB-AZ-1201","04-29-2015",7.87,15.45,17.6,13.6,553.23,5.08,51,0.29,188.5
"MAR122015","GT","P2","LRB-AZ-1201","04-29-2015",7.78,15.26,17.4,13.4,734.96,8.93,89.29,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","04-29-2015",7.58,15.35,17.5,13.5,889.9,4.47,44.69,0.43,
"MAR122015","GT","P4","LRB-AZ-1201","04-29-2015",7.38,,,,930.83,9.17,91.97,0.49,
"MAR122015","GT","P5","LRB-AZ-1201","04-29-2015",7.75,,,,1125.58,6.79,68.44,0.58,
"MAR122015","GT","P6","LRB-AZ-1201","04-29-2015",7.81,,,,910.3,3.51,35.31,0.45,
"MAR122015","GT","P1","LRB-AZ-1201","04-30-2015",7.89,17.24,23.5,12.1,549.53,3.52,36.18,0.28,521.81
"MAR122015","GT","P2","LRB-AZ-1201","04-30-2015",7.84,17.06,23.4,11.9,718.11,9.05,94.03,0.38,
"MAR122015","GT","P3","LRB-AZ-1201","04-30-2015",7.68,17.33,23.7,12.1,850.02,1.9,18.5,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","04-30-2015",7.6,,,,919.39,9.48,99.27,0.5,
"MAR122015","GT","P5","LRB-AZ-1201","04-30-2015",7.77,,,,1104.33,5.5,56.73,0.57,
"MAR122015","GT","P6","LRB-AZ-1201","04-30-2015",7.84,,,,856.01,4.12,43.5,0.44,
"MAR122015","GT","P1","LRB-AZ-1201","05-01-2015",7.87,16.51,22.5,11.1,507.34,1.36,13.34,0.25,556.44
"MAR122015","GT","P2","LRB-AZ-1201","05-01-2015",7.8,16.14,22.2,10.7,760.63,9.28,94.58,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","05-01-2015",7.65,16.87,22.9,11.3,844.38,0.56,5.33,0.4,
"MAR122015","GT","P4","LRB-AZ-1201","05-01-2015",7.52,,,,945.02,9.33,95.82,0.5,
"MAR122015","GT","P5","LRB-AZ-1201","05-01-2015",7.72,,,,1112.81,3.52,35.7,0.59,
"MAR122015","GT","P6","LRB-AZ-1201","05-01-2015",7.79,,,,786.8,4.03,42.04,0.38,
"MAR122015","GT","P1","LRB-AZ-1201","05-02-2015",7.85,19.13,26.5,12.2,497.06,0.09,0.96,0.26,533.41
"MAR122015","GT","P2","LRB-AZ-1201","05-02-2015",7.75,18.71,26.1,11.8,654.8,8.5,90.85,0.34,
"MAR122015","GT","P3","LRB-AZ-1201","05-02-2015",7.62,19.16,26.4,12.3,729.58,0.03,0.24,0.35,
"MAR122015","GT","P4","LRB-AZ-1201","05-02-2015",7.53,,,,899.64,8.82,95.71,0.44,
"MAR122015","GT","P5","LRB-AZ-1201","05-02-2015",7.71,,,,1015.19,3.6,38.85,0.54,
"MAR122015","GT","P6","LRB-AZ-1201","05-02-2015",7.82,,,,687.72,3.99,44.03,0.34,
"MAR122015","GT","P1","LRB-AZ-1201","05-03-2015",7.8,20.76,26.5,15.4,460.72,0,0,0.2,454.53
"MAR122015","GT","P2","LRB-AZ-1201","05-03-2015",7.77,20.51,26.2,15.1,640.15,8.59,95.57,0.3,
"MAR122015","GT","P3","LRB-AZ-1201","05-03-2015",7.57,20.73,26.5,15.1,648.62,0.03,0.31,0.3,
"MAR122015","GT","P4","LRB-AZ-1201","05-03-2015",7.42,,,,878.77,7.8,87.5,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","05-03-2015",7.68,,,,891.85,3.36,37.34,0.44,
"MAR122015","GT","P6","LRB-AZ-1201","05-03-2015",7.79,,,,646.17,3.2,36.17,0.3,
"MAR122015","GT","P1","LRB-AZ-1201","05-04-2015",7.81,21.11,26.4,16.4,407.92,0,0,0.2,436.94
"MAR122015","GT","P2","LRB-AZ-1201","05-04-2015",7.77,20.77,26.1,16,746.22,8.96,100.74,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","05-04-2015",7.52,21.13,26.4,16.2,681.58,0.07,0.72,0.3,
"MAR122015","GT","P4","LRB-AZ-1201","05-04-2015",7.44,,,,874.41,7.75,88.15,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","05-04-2015",7.68,,,,777.82,1.63,18.33,0.39,
"MAR122015","GT","P6","LRB-AZ-1201","05-04-2015",7.81,,,,658.65,3.11,35.58,0.3,
"MAR122015","GT","P1","LRB-AZ-1201","05-05-2015",7.76,18.07,21.7,16.3,435.38,0,0,0.2,316.29
"MAR122015","GT","P2","LRB-AZ-1201","05-05-2015",7.64,17.7,21.4,15.9,745.21,9.21,97.16,0.4,
"MAR122015","GT","P3","LRB-AZ-1201","05-05-2015",7.19,18.06,22.1,16.1,689.35,0.17,1.8,0.3,
"MAR122015","GT","P4","LRB-AZ-1201","05-05-2015",7.15,,,,871.74,8.22,87.51,0.4,
"MAR122015","GT","P5","LRB-AZ-1201","05-05-2015",7.76,,,,698.57,1.33,14.2,0.3,
"MAR122015","GT","P6","LRB-AZ-1201","05-05-2015",7.75,,,,723.42,3.9,42.06,0.38,
"JUN112014","GT","P1","KA32","06-27-2014",7.85,26.9,27,26.8,46691.16,4.52,67,30.3,5
"JUN112014","GT","P4","KA32","06-27-2014",7.82,26.77,26.9,26.6,48373.17,4.13,61.67,31.5,
"JUN112014","GT","P1","KA32","06-28-2014",7.89,26.8,30.5,23.4,46824.57,8.32,124.45,30.38,458.75
"JUN112014","GT","P2","KA32","06-28-2014",7.91,27.84,31.7,24.3,47262.67,6.67,101.67,30.66,
"JUN112014","GT","P3","KA32","06-28-2014",7.98,,,,47186.46,0.01,0,30.7,
"JUN112014","GT","P4","KA32","06-28-2014",7.89,26.91,30.8,23.3,48571.33,7.91,119.65,31.64,
"JUN112014","GT","P5","KA32","06-28-2014",7.91,26.82,30.5,23.4,49672.04,10.03,152.02,32.44,
"JUN112014","GT","P6","KA32","06-28-2014",7.92,26.85,30.8,23.4,50223.31,7.75,117.85,32.85,
"JUN112014","GT","P1","KA32","06-29-2014",7.92,27.28,32.2,23.4,47624.36,8.21,124.59,30.93,471.69
"JUN112014","GT","P2","KA32","06-29-2014",7.95,28.46,33.5,24.5,48108.35,6.38,98.65,31.26,
"JUN112014","GT","P3","KA32","06-29-2014",7.98,,,,48213.2,0.01,0,31.44,
"JUN112014","GT","P4","KA32","06-29-2014",7.94,27.48,32.7,23.4,49412.1,7.88,121.02,32.23,
"JUN112014","GT","P5","KA32","06-29-2014",7.94,27.37,32.4,23.4,50628.71,9.99,154.05,33.12,
"JUN112014","GT","P6","KA32","06-29-2014",7.94,27.37,32.6,23.3,51118.08,7.68,118.65,33.49,
